,id,path,label
0,000001,000001_female_Asian_45,10
1,000001,000001_female_Asian_45,4
2,000001,000001_female_Asian_45,4
3,000001,000001_female_Asian_45,4
4,000001,000001_female_Asian_45,4
5,000001,000001_female_Asian_45,16
6,000001,000001_female_Asian_45,4
7,000002,000002_female_Asian_52,10
8,000002,000002_female_Asian_52,4
9,000002,000002_female_Asian_52,4
10,000002,000002_female_Asian_52,4
11,000002,000002_female_Asian_52,4
12,000002,000002_female_Asian_52,16
13,000002,000002_female_Asian_52,4
14,000004,000004_male_Asian_54,7
15,000004,000004_male_Asian_54,1
16,000004,000004_male_Asian_54,1
17,000004,000004_male_Asian_54,1
18,000004,000004_male_Asian_54,1
19,000004,000004_male_Asian_54,13
20,000004,000004_male_Asian_54,1
21,000005,000005_female_Asian_58,10
22,000005,000005_female_Asian_58,4
23,000005,000005_female_Asian_58,4
24,000005,000005_female_Asian_58,4
25,000005,000005_female_Asian_58,4
26,000005,000005_female_Asian_58,16
27,000005,000005_female_Asian_58,4
28,000006,000006_female_Asian_59,10
29,000006,000006_female_Asian_59,4
30,000006,000006_female_Asian_59,4
31,000006,000006_female_Asian_59,4
32,000006,000006_female_Asian_59,4
33,000006,000006_female_Asian_59,16
34,000006,000006_female_Asian_59,4
35,000007,000007_female_Asian_58,10
36,000007,000007_female_Asian_58,4
37,000007,000007_female_Asian_58,4
38,000007,000007_female_Asian_58,4
39,000007,000007_female_Asian_58,4
40,000007,000007_female_Asian_58,16
41,000007,000007_female_Asian_58,4
42,000008,000008_female_Asian_58,10
43,000008,000008_female_Asian_58,4
44,000008,000008_female_Asian_58,4
45,000008,000008_female_Asian_58,4
46,000008,000008_female_Asian_58,4
47,000008,000008_female_Asian_58,16
48,000008,000008_female_Asian_58,4
49,000009,000009_female_Asian_56,10
50,000009,000009_female_Asian_56,4
51,000009,000009_female_Asian_56,4
52,000009,000009_female_Asian_56,4
53,000009,000009_female_Asian_56,4
54,000009,000009_female_Asian_56,16
55,000009,000009_female_Asian_56,4
56,000010,000010_female_Asian_58,10
57,000010,000010_female_Asian_58,4
58,000010,000010_female_Asian_58,4
59,000010,000010_female_Asian_58,4
60,000010,000010_female_Asian_58,4
61,000010,000010_female_Asian_58,16
62,000010,000010_female_Asian_58,4
63,000012,000012_male_Asian_57,7
64,000012,000012_male_Asian_57,1
65,000012,000012_male_Asian_57,1
66,000012,000012_male_Asian_57,1
67,000012,000012_male_Asian_57,1
68,000012,000012_male_Asian_57,13
69,000012,000012_male_Asian_57,1
70,000014,000014_female_Asian_58,10
71,000014,000014_female_Asian_58,4
72,000014,000014_female_Asian_58,4
73,000014,000014_female_Asian_58,4
74,000014,000014_female_Asian_58,4
75,000014,000014_female_Asian_58,16
76,000014,000014_female_Asian_58,4
77,000015,000015_male_Asian_55,7
78,000015,000015_male_Asian_55,1
79,000015,000015_male_Asian_55,1
80,000015,000015_male_Asian_55,1
81,000015,000015_male_Asian_55,1
82,000015,000015_male_Asian_55,13
83,000015,000015_male_Asian_55,1
84,000016,000016_female_Asian_58,10
85,000016,000016_female_Asian_58,4
86,000016,000016_female_Asian_58,4
87,000016,000016_female_Asian_58,4
88,000016,000016_female_Asian_58,4
89,000016,000016_female_Asian_58,16
90,000016,000016_female_Asian_58,4
91,000018,000018_female_Asian_59,10
92,000018,000018_female_Asian_59,4
93,000018,000018_female_Asian_59,4
94,000018,000018_female_Asian_59,4
95,000018,000018_female_Asian_59,4
96,000018,000018_female_Asian_59,16
97,000018,000018_female_Asian_59,4
